GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S11,HD02_S11,HD01_S12,HD02_S12,HD01_S13,HD02_S13,HD01_S14,HD02_S14,HD01_S15,HD02_S15,HD01_S16,HD02_S16,HD01_S17,HD02_S17,HD01_S18,HD02_S18,HD01_S19,HD02_S19,HD01_S20,HD02_S20,HD01_S21,HD02_S21,HD01_S22,HD02_S22,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40
0500000US01001,01001,"Autauga County, Alabama",20221,100.0,10563,52.2,4685,23.2,4973,24.6,15248,100.0,2945,19.3,5371,35.2,2881,18.9,2432,15.9,1088,7.1,372,2.4,159,1.0,4973,100.0,1496,30.1,1109,22.3,960,19.3,791,15.9,408,8.2,135,2.7,74,1.5,15248,100.0,270,1.8,1658,10.9,3096,20.3,3661,24.0,2902,19.0,3661,24.0,2224,14.6,1174,7.7,263,1.7,4973,100.0,422,8.5,1226,24.7,1341,27.0,912,18.3,496,10.0,576,11.6,311,6.3,201,4.0,64,1.3
0500000US01003,01003,"Baldwin County, Alabama",73180,100.0,34135,46.6,18936,25.9,20109,27.5,53071,100.0,11521,21.7,22163,41.8,8487,16.0,6727,12.7,2802,5.3,931,1.8,440,0.8,20109,100.0,6851,34.1,5478,27.2,3303,16.4,2504,12.5,1247,6.2,494,2.5,232,1.2,53071,100.0,637,1.2,4592,8.7,8073,15.2,11186,21.1,11743,22.1,16840,31.7,9746,18.4,5560,10.5,1534,2.9,20109,100.0,1970,9.8,4812,23.9,4139,20.6,3753,18.7,2419,12.0,3016,15.0,1378,6.9,939,4.7,699,3.5
0500000US01005,01005,"Barbour County, Alabama",9820,100.0,3503,35.7,3053,31.1,3264,33.2,6556,100.0,1633,24.9,2528,38.6,1084,16.5,796,12.1,339,5.2,123,1.9,53,0.8,3264,100.0,1164,35.7,761,23.3,536,16.4,393,12.0,243,7.4,98,3.0,69,2.1,6556,100.0,83,1.3,447,6.8,934,14.2,1425,21.7,1585,24.2,2082,31.8,1183,18.0,690,10.5,209,3.2,3264,100.0,298,9.1,749,22.9,609,18.7,554,17.0,483,14.8,571,17.5,271,8.3,202,6.2,98,3.0
0500000US01007,01007,"Bibb County, Alabama",7953,100.0,3326,41.8,2685,33.8,1942,24.4,6011,100.0,1272,21.2,2130,35.4,1047,17.4,913,15.2,402,6.7,150,2.5,97,1.6,1942,100.0,679,35.0,504,26.0,333,17.1,244,12.6,119,6.1,35,1.8,28,1.4,6011,100.0,129,2.1,687,11.4,1083,18.0,1327,22.1,1234,20.5,1551,25.8,906,15.1,492,8.2,153,2.5,1942,100.0,168,8.7,385,19.8,369,19.0,370,19.1,291,15.0,359,18.5,185,9.5,132,6.8,42,2.2
0500000US01009,01009,"Blount County, Alabama",21578,100.0,10442,48.4,6942,32.2,4194,19.4,17384,100.0,3340,19.2,6475,37.2,3165,18.2,2566,14.8,1162,6.7,437,2.5,239,1.4,4194,100.0,1440,34.3,1019,24.3,687,16.4,569,13.6,310,7.4,97,2.3,72,1.7,17384,100.0,348,2.0,2029,11.7,3196,18.4,3638,20.9,3588,20.6,4585,26.4,2789,16.0,1439,8.3,357,2.1,4194,100.0,336,8.0,860,20.5,864,20.6,747,17.8,555,13.2,832,19.8,390,9.3,306,7.3,136,3.2
0500000US01011,01011,"Bullock County, Alabama",3745,100.0,1049,28.0,1527,40.8,1169,31.2,2576,100.0,818,31.8,845,32.8,414,16.1,281,10.9,129,5.0,53,2.1,36,1.4,1169,100.0,412,35.2,238,20.4,194,16.6,173,14.8,78,6.7,35,3.0,39,3.3,2576,100.0,39,1.5,189,7.3,326,12.7,595,23.1,648,25.2,779,30.2,425,16.5,248,9.6,106,4.1,1169,100.0,130,11.1,305,26.1,222,19.0,199,17.0,150,12.8,163,13.9,90,7.7,49,4.2,24,2.1
0500000US01013,01013,"Butler County, Alabama",8491,100.0,2956,34.8,3011,35.5,2524,29.7,5967,100.0,1564,26.2,2099,35.2,1105,18.5,718,12.0,314,5.3,108,1.8,59,1.0,2524,100.0,962,38.1,606,24.0,415,16.4,323,12.8,128,5.1,53,2.1,37,1.5,5967,100.0,73,1.2,557,9.3,840,14.1,1283,21.5,1366,22.9,1848,31.0,978,16.4,634,10.6,236,4.0,2524,100.0,240,9.5,578,22.9,438,17.4,436,17.3,367,14.5,465,18.4,246,9.7,149,5.9,70,2.8
0500000US01015,01015,"Calhoun County, Alabama",47331,100.0,19074,40.3,13478,28.5,14779,31.2,32552,100.0,7717,23.7,12430,38.2,5632,17.3,4109,12.6,1745,5.4,591,1.8,328,1.0,14779,100.0,5412,36.6,3863,26.1,2499,16.9,1707,11.6,802,5.4,317,2.1,179,1.2,32552,100.0,517,1.6,3204,9.8,4961,15.2,6989,21.5,7366,22.6,9515,29.2,5149,15.8,3405,10.5,961,3.0,14779,100.0,2468,16.7,3540,24.0,2704,18.3,2492,16.9,1690,11.4,1885,12.8,952,6.4,657,4.4,276,1.9
0500000US01017,01017,"Chambers County, Alabama",13933,100.0,5392,38.7,4451,31.9,4090,29.4,9843,100.0,2589,26.3,3625,36.8,1677,17.0,1151,11.7,496,5.0,178,1.8,127,1.3,4090,100.0,1464,35.8,1049,25.6,698,17.1,487,11.9,247,6.0,102,2.5,43,1.1,9843,100.0,151,1.5,812,8.2,1470,14.9,2054,20.9,2307,23.4,3049,31.0,1668,16.9,1011,10.3,370,3.8,4090,100.0,314,7.7,828,20.2,820,20.0,726,17.8,593,14.5,809,19.8,396,9.7,276,6.7,137,3.3
0500000US01019,01019,"Cherokee County, Alabama",10626,100.0,4011,37.7,4334,40.8,2281,21.5,8345,100.0,1917,23.0,3412,40.9,1412,16.9,1005,12.0,385,4.6,134,1.6,80,1.0,2281,100.0,847,37.1,589,25.8,370,16.2,282,12.4,107,4.7,51,2.2,35,1.5,8345,100.0,127,1.5,665,8.0,1309,15.7,1753,21.0,1909,22.9,2582,30.9,1604,19.2,804,9.6,174,2.1,2281,100.0,207,9.1,392,17.2,440,19.3,432,18.9,348,15.3,462,20.3,267,11.7,146,6.4,49,2.1
