GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S11,HD02_S11,HD01_S12,HD02_S12,HD01_S13,HD02_S13,HD01_S14,HD02_S14,HD01_S15,HD02_S15,HD01_S16,HD02_S16,HD01_S17,HD02_S17,HD01_S18,HD02_S18,HD01_S19,HD02_S19,HD01_S20,HD02_S20,HD01_S21,HD02_S21,HD01_S22,HD02_S22,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37
0500000US01001,01001,"Autauga County, Alabama",20221,100.0,15064,74.5,10747,53.1,4317,21.3,5157,25.5,2436,12.0,2012,10.0,2721,13.5,2429,12.0,20221,100.0,4441,22.0,6480,32.0,3841,19.0,3223,15.9,1496,7.4,507,2.5,233,1.2,2.68, ( X ) ,3.13, ( X ) ,15064,100.0,7901,52.4,7065,46.9,1360,9.0,1326,8.8,4379,29.1,11367,100.0,5522,48.6,5110,45.0,988,8.7,1044,9.2,3078,27.1,2763,100.0,1821,65.9,1481,53.6,257,9.3,237,8.6,987,35.7
0500000US01003,01003,"Baldwin County, Alabama",73180,100.0,51151,69.9,36148,49.4,15003,20.5,22029,30.1,10277,14.0,8096,11.1,11752,16.1,10276,14.0,73180,100.0,18372,25.1,27641,37.8,11790,16.1,9231,12.6,4049,5.5,1425,1.9,672,0.9,2.46, ( X ) ,2.93, ( X ) ,51151,100.0,22898,44.8,20472,40.0,4581,9.0,3815,7.5,12076,23.6,39913,100.0,15778,39.5,14559,36.5,3324,8.3,2968,7.4,8267,20.7,8144,100.0,5272,64.7,4355,53.5,842,10.3,685,8.4,2828,34.7
0500000US01005,01005,"Barbour County, Alabama",9820,100.0,6721,68.4,3946,40.2,2775,28.3,3099,31.6,1396,14.2,1224,12.5,1703,17.3,1573,16.0,9820,100.0,2797,28.5,3289,33.5,1620,16.5,1189,12.1,582,5.9,221,2.3,122,1.2,2.47, ( X ) ,3.01, ( X ) ,6721,100.0,3226,48.0,2688,40.0,571,8.5,540,8.0,1577,23.5,4293,100.0,1628,37.9,1414,32.9,273,6.4,292,6.8,849,19.8,1948,100.0,1348,69.2,1078,55.3,233,12.0,214,11.0,631,32.4
0500000US01007,01007,"Bibb County, Alabama",7953,100.0,5748,72.3,3955,49.7,1793,22.5,2205,27.7,1052,13.2,898,11.3,1153,14.5,1053,13.2,7953,100.0,1951,24.5,2634,33.1,1380,17.4,1157,14.5,521,6.6,185,2.3,125,1.6,2.60, ( X ) ,3.09, ( X ) ,5748,100.0,2752,47.9,2343,40.8,498,8.7,464,8.1,1381,24.0,4172,100.0,1789,42.9,1599,38.3,336,8.1,345,8.3,918,22.0,1143,100.0,748,65.4,582,50.9,125,10.9,99,8.7,358,31.3
0500000US01009,01009,"Blount County, Alabama",21578,100.0,16175,75.0,12292,57.0,3883,18.0,5403,25.0,2544,11.8,2161,10.0,2859,13.2,2619,12.1,21578,100.0,4780,22.2,7494,34.7,3852,17.9,3135,14.5,1472,6.8,534,2.5,311,1.4,2.63, ( X ) ,3.07, ( X ) ,16175,100.0,7625,47.1,6713,41.5,1377,8.5,1331,8.2,4005,24.8,13077,100.0,5771,44.1,5208,39.8,1096,8.4,1106,8.5,3006,23.0,2084,100.0,1276,61.2,1031,49.5,162,7.8,171,8.2,698,33.5
0500000US01011,01011,"Bullock County, Alabama",3745,100.0,2387,63.7,1045,27.9,1342,35.8,1358,36.3,624,16.7,556,14.8,734,19.6,674,18.0,3745,100.0,1230,32.8,1083,28.9,608,16.2,454,12.1,207,5.5,88,2.3,75,2.0,2.46, ( X ) ,3.12, ( X ) ,2387,100.0,1270,53.2,1017,42.6,241,10.1,204,8.5,572,24.0,1178,100.0,475,40.3,406,34.5,92,7.8,87,7.4,227,19.3,1003,100.0,694,69.2,529,52.7,129,12.9,104,10.4,296,29.5
0500000US01013,01013,"Butler County, Alabama",8491,100.0,5739,67.6,3356,39.5,2383,28.1,2752,32.4,1194,14.1,1063,12.5,1558,18.3,1463,17.2,8491,100.0,2526,29.7,2705,31.9,1520,17.9,1041,12.3,442,5.2,161,1.9,96,1.1,2.43, ( X ) ,3.00, ( X ) ,5739,100.0,2803,48.8,2375,41.4,492,8.6,452,7.9,1431,24.9,3678,100.0,1479,40.2,1309,35.6,266,7.2,266,7.2,777,21.1,1680,100.0,1143,68.0,924,55.0,184,11.0,170,10.1,570,33.9
0500000US01015,01015,"Calhoun County, Alabama",47331,100.0,31609,66.8,20967,44.3,10642,22.5,15722,33.2,7155,15.1,5725,12.1,8567,18.1,7404,15.6,47331,100.0,13129,27.7,16293,34.4,8131,17.2,5816,12.3,2547,5.4,908,1.9,507,1.1,2.44, ( X ) ,2.97, ( X ) ,31609,100.0,14755,46.7,12646,40.0,2838,9.0,2394,7.6,7414,23.5,22168,100.0,8885,40.1,7914,35.7,1706,7.7,1635,7.4,4573,20.6,7196,100.0,4676,65.0,3749,52.1,869,12.1,634,8.8,2246,31.2
0500000US01017,01017,"Chambers County, Alabama",13933,100.0,9391,67.4,5639,40.5,3752,26.9,4542,32.6,2092,15.0,1798,12.9,2450,17.6,2255,16.2,13933,100.0,4053,29.1,4674,33.5,2375,17.0,1638,11.8,743,5.3,280,2.0,170,1.2,2.42, ( X ) ,2.97, ( X ) ,9391,100.0,4231,45.1,3422,36.4,669,7.1,615,6.5,2138,22.8,5931,100.0,2205,37.2,1862,31.4,339,5.7,316,5.3,1207,20.4,2662,100.0,1616,60.7,1237,46.5,252,9.5,253,9.5,732,27.5
0500000US01019,01019,"Cherokee County, Alabama",10626,100.0,7493,70.5,5502,51.8,1991,18.7,3133,29.5,1567,14.7,1358,12.8,1566,14.7,1406,13.2,10626,100.0,2764,26.0,4001,37.7,1782,16.8,1287,12.1,492,4.6,185,1.7,115,1.1,2.42, ( X ) ,2.89, ( X ) ,7493,100.0,3118,41.6,2670,35.6,535,7.1,472,6.3,1663,22.2,5874,100.0,2148,36.6,1892,32.2,387,6.6,347,5.9,1158,19.7,1104,100.0,681,61.7,536,48.6,102,9.2,88,8.0,346,31.3
0500000US01021,01021,"Chilton County, Alabama",16558,100.0,12092,73.0,8635,52.2,3457,20.9,4466,27.0,2191,13.2,1819,11.0,2275,13.7,2076,12.5,16558,100.0,3895,23.5,5553,33.5,3001,18.1,2359,14.2,1104,6.7,397,2.4,249,1.5,2.61, ( X ) ,3.06, ( X ) ,12092,100.0,5930,49.0,5207,43.1,1137,9.4,1007,8.3,3063,25.3,9245,100.0,4112,44.5,3723,40.3,838,9.1,775,8.4,2110,22.8,1993,100.0,1328,66.6,1081,54.2,203,10.2,179,9.0,699,35.1
0500000US01023,01023,"Choctaw County, Alabama",5866,100.0,3873,66.0,2517,42.9,1356,23.1,1993,34.0,941,16.0,876,14.9,1052,17.9,986,16.8,5866,100.0,1862,31.7,1957,33.4,914,15.6,701,12.0,277,4.7,102,1.7,53,0.9,2.34, ( X ) ,2.95, ( X ) ,3873,100.0,1732,44.7,1457,37.6,211,5.4,289,7.5,957,24.7,2734,100.0,1065,39.0,940,34.4,139,5.1,202,7.4,599,21.9,924,100.0,571,61.8,444,48.1,60,6.5,77,8.3,307,33.2
0500000US01025,01025,"Clarke County, Alabama",10337,100.0,7204,69.7,4620,44.7,2584,25.0,3133,30.3,1432,13.9,1304,12.6,1701,16.5,1601,15.5,10337,100.0,2905,28.1,3377,32.7,1751,16.9,1390,13.4,595,5.8,213,2.1,106,1.0,2.47, ( X ) ,3.02, ( X ) ,7204,100.0,3542,49.2,3021,41.9,467,6.5,614,8.5,1940,26.9,4989,100.0,2079,41.7,1863,37.3,270,5.4,405,8.1,1188,23.8,1804,100.0,1243,68.9,984,54.5,154,8.5,190,10.5,640,35.5
