GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
0500000US01001,01001,"Autauga County, Alabama",54571,100.0,53702,98.4,42855,78.5,9643,17.7,232,0.4,164,0.3,4,0.0,0,0.0,64,0.1,474,0.9,32,0.1,466,0.9,869,1.6,80,0.1,734,1.3,15,0.0,40,0.1,54571,100.0,1310,2.4,781,1.4,199,0.4,28,0.1,302,0.6,53261,97.6,54571,100.0,53702,98.4,1202,2.2,52500,96.2,869,1.6,108,0.2,761,1.4
0500000US01003,01003,"Baldwin County, Alabama",182265,100.0,179542,98.5,156153,85.7,17105,9.4,1216,0.7,935,0.5,8,0.0,0,0.0,273,0.1,1348,0.7,89,0.0,3631,2.0,2723,1.5,392,0.2,2191,1.2,28,0.0,112,0.1,182265,100.0,7992,4.4,5304,2.9,555,0.3,202,0.1,1931,1.1,174273,95.6,182265,100.0,179542,98.5,7566,4.2,171976,94.4,2723,1.5,426,0.2,2297,1.3
0500000US01005,01005,"Barbour County, Alabama",27457,100.0,27199,99.1,13180,48.0,12875,46.9,114,0.4,90,0.3,0,0.0,0,0.0,24,0.1,107,0.4,29,0.1,894,3.3,258,0.9,58,0.2,196,0.7,1,0.0,3,0.0,27457,100.0,1387,5.1,1109,4.0,35,0.1,6,0.0,237,0.9,26070,94.9,27457,100.0,27199,99.1,1338,4.9,25861,94.2,258,0.9,49,0.2,209,0.8
0500000US01007,01007,"Bibb County, Alabama",22915,100.0,22712,99.1,17381,75.8,5047,22.0,64,0.3,39,0.2,0,0.0,0,0.0,25,0.1,22,0.1,13,0.1,185,0.8,203,0.9,22,0.1,173,0.8,2,0.0,6,0.0,22915,100.0,406,1.8,249,1.1,9,0.0,5,0.0,143,0.6,22509,98.2,22915,100.0,22712,99.1,384,1.7,22328,97.4,203,0.9,22,0.1,181,0.8
0500000US01009,01009,"Blount County, Alabama",57322,100.0,56638,98.8,53068,92.6,761,1.3,307,0.5,239,0.4,1,0.0,0,0.0,67,0.1,117,0.2,38,0.1,2347,4.1,684,1.2,117,0.2,545,1.0,2,0.0,20,0.0,57322,100.0,4626,8.1,4154,7.2,48,0.1,12,0.0,412,0.7,52696,91.9,57322,100.0,56638,98.8,4509,7.9,52129,90.9,684,1.2,117,0.2,567,1.0
0500000US01011,01011,"Bullock County, Alabama",10914,100.0,10828,99.2,2507,23.0,7666,70.2,23,0.2,11,0.1,0,0.0,0,0.0,12,0.1,20,0.2,43,0.4,569,5.2,86,0.8,24,0.2,58,0.5,0,0.0,4,0.0,10914,100.0,777,7.1,513,4.7,13,0.1,0,0.0,251,2.3,10137,92.9,10914,100.0,10828,99.2,750,6.9,10078,92.3,86,0.8,27,0.2,59,0.5
0500000US01013,01013,"Butler County, Alabama",20947,100.0,20786,99.2,11399,54.4,9095,43.4,60,0.3,22,0.1,0,0.0,0,0.0,38,0.2,177,0.8,7,0.0,48,0.2,161,0.8,19,0.1,134,0.6,3,0.0,5,0.0,20947,100.0,191,0.9,101,0.5,26,0.1,9,0.0,55,0.3,20756,99.1,20947,100.0,20786,99.2,172,0.8,20614,98.4,161,0.8,19,0.1,142,0.7
0500000US01015,01015,"Calhoun County, Alabama",118572,100.0,116597,98.3,88840,74.9,24382,20.6,540,0.5,298,0.3,4,0.0,0,0.0,238,0.2,845,0.7,96,0.1,1894,1.6,1975,1.7,218,0.2,1630,1.4,25,0.0,102,0.1,118572,100.0,3893,3.3,2688,2.3,404,0.3,89,0.1,712,0.6,114679,96.7,118572,100.0,116597,98.3,3622,3.1,112975,95.3,1975,1.7,271,0.2,1704,1.4
0500000US01017,01017,"Chambers County, Alabama",34215,100.0,33830,98.9,20112,58.8,13257,38.7,69,0.2,52,0.2,0,0.0,0,0.0,17,0.0,168,0.5,10,0.0,214,0.6,385,1.1,61,0.2,312,0.9,2,0.0,10,0.0,34215,100.0,536,1.6,327,1.0,47,0.1,21,0.1,141,0.4,33679,98.4,34215,100.0,33830,98.9,478,1.4,33352,97.5,385,1.1,58,0.2,327,1.0
0500000US01019,01019,"Cherokee County, Alabama",25989,100.0,25602,98.5,24081,92.7,1208,4.6,135,0.5,105,0.4,2,0.0,0,0.0,28,0.1,54,0.2,1,0.0,123,0.5,387,1.5,36,0.1,340,1.3,0,0.0,11,0.0,25989,100.0,320,1.2,185,0.7,16,0.1,6,0.0,113,0.4,25669,98.8,25989,100.0,25602,98.5,280,1.1,25322,97.4,387,1.5,40,0.2,347,1.3
0500000US01021,01021,"Chilton County, Alabama",43643,100.0,43137,98.8,36713,84.1,4230,9.7,155,0.4,99,0.2,2,0.0,0,0.0,54,0.1,130,0.3,55,0.1,1854,4.2,506,1.2,116,0.3,371,0.9,3,0.0,16,0.0,43643,100.0,3420,7.8,2932,6.7,88,0.2,19,0.0,381,0.9,40223,92.2,43643,100.0,43137,98.8,3267,7.5,39870,91.4,506,1.2,153,0.4,353,0.8
0500000US01023,01023,"Choctaw County, Alabama",13859,100.0,13801,99.6,7731,55.8,6012,43.4,18,0.1,7,0.1,0,0.0,0,0.0,11,0.1,12,0.1,0,0.0,28,0.2,58,0.4,2,0.0,50,0.4,2,0.0,4,0.0,13859,100.0,73,0.5,37,0.3,8,0.1,4,0.0,24,0.2,13786,99.5,13859,100.0,13801,99.6,71,0.5,13730,99.1,58,0.4,2,0.0,56,0.4
0500000US01025,01025,"Clarke County, Alabama",25833,100.0,25657,99.3,14070,54.5,11336,43.9,103,0.4,64,0.2,0,0.0,0,0.0,39,0.2,77,0.3,4,0.0,67,0.3,176,0.7,21,0.1,136,0.5,0,0.0,19,0.1,25833,100.0,271,1.0,122,0.5,59,0.2,3,0.0,87,0.3,25562,99.0,25833,100.0,25657,99.3,251,1.0,25406,98.3,176,0.7,20,0.1,156,0.6
0500000US01027,01027,"Clay County, Alabama",13932,100.0,13697,98.3,11380,81.7,2066,14.8,55,0.4,34,0.2,4,0.0,0,0.0,17,0.1,24,0.2,0,0.0,172,1.2,235,1.7,22,0.2,205,1.5,1,0.0,7,0.1,13932,100.0,399,2.9,252,1.8,2,0.0,86,0.6,59,0.4,13533,97.1,13932,100.0,13697,98.3,380,2.7,13317,95.6,235,1.7,19,0.1,216,1.6
0500000US01029,01029,"Cleburne County, Alabama",14972,100.0,14812,98.9,14079,94.0,498,3.3,51,0.3,32,0.2,0,0.0,0,0.0,19,0.1,23,0.2,10,0.1,151,1.0,160,1.1,17,0.1,139,0.9,2,0.0,2,0.0,14972,100.0,307,2.1,256,1.7,7,0.0,7,0.0,37,0.2,14665,97.9,14972,100.0,14812,98.9,284,1.9,14528,97.0,160,1.1,23,0.2,137,0.9
0500000US01031,01031,"Coffee County, Alabama",49948,100.0,48701,97.5,37330,74.7,8359,16.7,645,1.3,485,1.0,1,0.0,0,0.0,159,0.3,644,1.3,100,0.2,1623,3.2,1247,2.5,145,0.3,999,2.0,15,0.0,88,0.2,49948,100.0,3180,6.4,1615,3.2,581,1.2,62,0.1,922,1.8,46768,93.6,49948,100.0,48701,97.5,2976,6.0,45725,91.5,1247,2.5,204,0.4,1043,2.1
